bad,purpose_1,purpose_2,purpose_3,purpose_4,purpose_5,term_1,term_2,verification_status_1,verification_status_2,verification_status_3,initial_list_status_1,initial_list_status_2,loan_amnt,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,total_acc,pub_rec_bankruptcies,emp_length,pop,urate
0,1,0,0,0,0,1,0,1,0,0,1,0,13000,465.23999,90000,11.91,0,3,14,0,38,0,10,1437265,8.6000004
0,0,1,0,0,0,1,0,0,0,1,1,0,10000,342.22,57000,11.14,0,1,9,0,13,0,3,36294256,12.4
0,1,0,0,0,0,1,0,0,1,0,1,0,4200,144.27,73000,12.99,1,4,8,0,35,0,1,38014872,8
0,1,0,0,0,0,1,0,0,0,1,0,1,13650,441.48001,52000,30.620001,0,0,14,0,37,0,1,4747511,8.3322582
0,1,0,0,0,0,1,0,1,0,0,1,0,5225,179.42,96600,6.8299999,0,0,6,0,7,0,0,102868224,8
0,1,0,0,0,0,1,0,0,1,0,1,0,4800,150.2,48000,13,0,1,7,0,13,0,6,74034480,9.6000004
1,1,0,0,0,0,1,0,1,0,0,1,0,8125,290.78,40000,13.59,0,1,8,0,13,0,2,252598800,9.2851067
0,0,0,0,0,1,1,0,0,1,0,1,0,13500,439.73999,40000,26.190001,0,2,8,0,26,0,6,24491948,6.0925927
1,1,0,0,0,0,1,0,0,0,1,1,0,32000,1095.09,78540,11.57,0,0,6,0,11,0,1,28726860,6.9000001
0,1,0,0,0,0,1,0,0,0,1,1,0,7000,245.41,30000,21.120001,0,0,10,0,11,0,1,23431414,7.3650794
0,0,1,0,0,0,1,0,1,0,0,1,0,10000,319.47,60000,1.78,0,2,9,0,30,0,6,26644444,8.9627905
0,1,0,0,0,0,1,0,0,1,0,1,0,20000,679.37,98000,7.8000002,0,1,16,0,35,0,10,34167956,7.8245902
0,0,0,0,0,1,1,0,1,0,0,0,1,5600,196.33,37000,1.33,0,0,3,1,7,1,6,872681,5
1,1,0,0,0,0,1,0,0,0,1,1,0,12300,403.51001,35402,25.59,0,0,12,0,26,0,10,59920644,10.55
0,1,0,0,0,0,1,0,1,0,0,1,0,14000,490.82001,63000,5.77,0,3,8,0,12,0,5,1031850880,11.05
0,1,0,0,0,0,1,0,1,0,0,1,0,8000,266.60001,61000,23.08,0,5,7,0,13,0,1,5601048,11.731818
0,1,0,0,0,0,1,0,0,1,0,1,0,10450,325.10999,55500,14.7,0,0,11,0,26,0,2,53145512,8.8999996
0,1,0,0,0,0,1,0,1,0,0,1,0,3250,108.77,28000,22.540001,0,2,12,0,27,0,0,15073816,11.301887
0,1,0,0,0,0,1,0,1,0,0,1,0,6250,212.77,24000,18.450001,0,0,11,0,14,0,3,203991376,9.2431822
0,1,0,0,0,0,0,1,0,1,0,1,0,6900,147.87,29000,22.01,0,0,21,0,44,0,6,4784228,10.226315
0,1,0,0,0,0,1,0,1,0,0,1,0,24000,747.88,195000,15.65,0,1,18,0,38,0,10,662652352,9.5273972
0,1,0,0,0,0,1,0,0,0,1,1,0,9000,291.09,55000,13.22,0,0,14,0,21,0,2,220380352,7.5999999
1,1,0,0,0,0,1,0,1,0,0,1,0,12000,368.45001,42000,19,0,0,12,0,19,0,10,56905000,7.0743241
0,0,0,0,0,1,1,0,1,0,0,1,0,2500,79.389999,31000,22.49,0,3,7,1,40,1,2,3824756,10.223684
0,0,0,1,0,0,1,0,1,0,0,1,0,5300,185.81,45000,21.120001,1,1,11,1,22,0,5,1004366,5.5771928
0,1,0,0,0,0,1,0,1,0,0,1,0,8400,289.76001,30000,21.82,0,3,10,0,20,0,1,20387208,13.2
0,1,0,0,0,0,1,0,0,0,1,0,1,16000,508.06,80000,18.49,0,0,8,0,30,0,10,1437265,8.6000004
0,1,0,0,0,0,1,0,0,0,1,1,0,25000,876.46002,60000,16.08,0,0,6,0,35,0,10,33752616,6.1052632
0,1,0,0,0,0,1,0,0,1,0,1,0,25000,882.51001,300000,5,0,2,5,0,24,0,2,102868224,8
0,0,0,1,0,0,1,0,0,1,0,1,0,3500,109.13,105508,15.1,0,0,14,0,25,0,10,7639828,12.252381
0,1,0,0,0,0,1,0,0,0,1,1,0,30000,1092.87,66000,12.64,0,1,8,1,15,1,10,5799147,11.128125
0,0,0,0,0,1,1,0,0,0,1,1,0,8000,259.53,120000,11.32,1,0,9,0,28,0,3,269249344,5.3963857
0,1,0,0,0,0,1,0,0,0,1,1,0,24000,762.08002,84000,16.360001,0,0,8,1,29,0,5,103764672,7.5
0,0,1,0,0,0,0,1,1,0,0,1,0,8000,189.95,65000,10.91,0,0,6,0,17,0,5,2482672,8.7550726
0,1,0,0,0,0,1,0,1,0,0,1,0,10000,327.34,39996,11.82,0,0,5,0,12,0,2,45036896,9.7911768
0,0,0,0,0,1,1,0,1,0,0,1,0,7500,259.41,43260,23.860001,0,3,23,0,33,0,1,13722318,12.75
0,1,0,0,0,0,1,0,0,1,0,1,0,4500,161.05,15000,17.85,0,1,23,0,34,0,2,9282360,6.9000001
0,0,0,1,0,0,1,0,0,0,1,1,0,10000,361.95999,78300,21.690001,0,2,7,0,16,0,1,3838421,9.7650003
0,1,0,0,0,0,1,0,1,0,0,1,0,10000,340.17999,65000,17.08,0,0,8,0,26,0,7,81025504,5.5822783
0,1,0,0,0,0,1,0,0,1,0,1,0,5950,201.89,60000,15.7,0,1,16,0,22,0,0,66606060,6.4366198
0,1,0,0,0,0,1,0,0,0,1,1,0,10425,346.85999,31000,28.030001,0,0,5,0,16,0,10,11219221,9.0621948
0,1,0,0,0,0,1,0,1,0,0,1,0,16000,523.77002,38000,20.18,0,1,12,0,25,0,3,2832238,10.933333
1,1,0,0,0,0,1,0,1,0,0,1,0,8000,280.47,30000,21.440001,0,0,6,0,11,0,4,29043448,8.0661535
1,1,0,0,0,0,1,0,0,1,0,1,0,7750,252.78,35000,6.5100002,0,0,5,0,12,0,6,58689792,5.3000002
0,0,0,0,0,1,1,0,1,0,0,1,0,3000,95.32,54000,13.42,0,2,9,0,14,0,0,2796752,10.1
1,1,0,0,0,0,1,0,0,0,1,0,1,12000,388.10999,98000,27.040001,0,4,15,0,32,0,10,4076265,8.2739134
0,1,0,0,0,0,1,0,0,1,0,0,1,10000,328.06,58000,8.5699997,0,0,14,0,28,0,5,22190028,8.2340908
0,1,0,0,0,0,1,0,1,0,0,1,0,16000,532.34998,56000,23,0,0,16,0,18,0,6,266776752,9.1000004
0,1,0,0,0,0,1,0,1,0,0,1,0,15000,513.33002,117000,17.860001,1,0,12,0,27,0,0,27144992,14.5025
0,0,0,0,0,1,1,0,0,0,1,1,0,8000,250.33,35000,3.77,0,4,7,0,7,0,3,7596300,10.619047
0,1,0,0,0,0,1,0,1,0,0,1,0,10000,311.01999,69228,13.38,0,0,8,0,17,0,3,107546368,10.016666
0,1,0,0,0,0,1,0,0,0,1,1,0,6000,190.52,51000,22.24,0,0,11,0,26,0,3,10998276,4.2391305
0,1,0,0,0,0,1,0,1,0,0,1,0,14100,469.14001,60000,8.4399996,1,0,10,0,24,0,10,3642091,9.4571428
0,0,0,0,0,1,1,0,1,0,0,1,0,1600,50.07,35000,31.610001,0,0,16,0,26,0,0,206051696,8.0784092
0,0,0,1,0,0,1,0,1,0,0,1,0,8000,274.70999,54000,22.33,0,0,11,0,30,0,10,58151924,6.6417723
0,0,0,0,0,1,1,0,0,0,1,1,0,22250,719.62,100000,0.54000002,0,2,7,0,19,0,10,55974272,8
0,0,1,0,0,0,1,0,0,0,1,1,0,21000,693.79999,92000,9.4200001,0,0,14,0,20,0,0,1464805,11.3
1,1,0,0,0,0,1,0,0,0,1,1,0,10000,363.98999,125000,9.9300003,0,0,17,0,37,0,0,131929072,11.6
0,1,0,0,0,0,1,0,1,0,0,1,0,10000,366.82001,69000,3.0599999,0,1,4,0,18,0,3,266776752,9.1000004
0,1,0,0,0,0,1,0,1,0,0,1,0,20000,646.84998,90000,17.950001,0,0,14,0,29,0,10,94502720,7
0,1,0,0,0,0,1,0,1,0,0,0,1,6000,196.84,69100,12.63,0,1,19,0,28,0,10,1229649,8.5830984
0,1,0,0,0,0,1,0,1,0,0,0,1,3000,102.67,60000,18.76,1,2,11,0,25,0,6,1223553,6.1666665
0,1,0,0,0,0,1,0,1,0,0,1,0,3000,99.82,30000,9.8000002,0,0,10,0,30,0,2,19864662,9.6118641
0,0,0,0,0,1,1,0,0,1,0,1,0,3000,93.849998,50000,8.1599998,0,0,4,0,5,0,1,263101184,10.8
1,1,0,0,0,0,1,0,0,0,1,1,0,13250,482.29001,58000,15.23,0,3,5,1,10,1,10,228888864,9.6999998
0,0,0,0,0,1,1,0,0,0,1,1,0,5600,171.95,37882,26.01,0,1,7,0,28,0,8,67735112,8.3000002
0,1,0,0,0,0,1,0,0,1,0,1,0,9175,307.78,28500,19.030001,0,0,6,0,10,0,0,3073038,8.1431036
0,0,1,0,0,0,1,0,1,0,0,1,0,7500,231.75,48000,0.85000002,0,0,8,1,18,0,0,28691248,12.234568
0,1,0,0,0,0,1,0,1,0,0,1,0,12000,412.06,90000,9.2799997,0,1,12,0,19,0,10,5175152,4.6133332
0,1,0,0,0,0,1,0,1,0,0,1,0,24000,736.89001,120000,15.88,0,3,8,0,20,0,10,52107696,6.4254236
1,1,0,0,0,0,1,0,0,1,0,1,0,13000,424.01001,60000,18.16,0,0,13,0,20,0,3,436422016,9.9670734
0,1,0,0,0,0,1,0,1,0,0,1,0,13450,460.28,40000,12.93,0,0,5,0,32,0,1,3206016,7.1999998
0,1,0,0,0,0,1,0,1,0,0,1,0,3000,93.489998,28080,10.26,0,0,6,0,22,0,1,317256448,7.3000002
0,1,0,0,0,0,1,0,1,0,0,1,0,10000,317.54001,65000,16.049999,0,0,15,0,27,0,8,271088,4.453846
0,1,0,0,0,0,1,0,1,0,0,1,0,7000,237.52,41000,6.4699998,0,0,5,0,10,0,2,106050376,7.5830507
0,1,0,0,0,0,1,0,1,0,0,1,0,7000,236.61,89000,14.25,1,0,7,0,34,0,10,198496544,9.3999996
0,0,0,0,0,1,1,0,0,1,0,1,0,5000,173.11,150000,0.33000001,0,2,3,0,3,0,1,101640256,7.8000002
1,1,0,0,0,0,1,0,0,0,1,1,0,28000,876.13,124000,16.440001,2,0,19,0,53,0,10,13660565,8.1000004
0,1,0,0,0,0,1,0,0,0,1,0,1,28000,876.13,100000,13.01,0,0,9,0,23,0,10,12492318,5.9595237
0,1,0,0,0,0,1,0,0,0,1,1,0,15000,555.32001,110630,27.889999,1,2,19,0,52,0,7,30082984,7.0972972
0,1,0,0,0,0,1,0,0,1,0,1,0,9750,316.31,68000,4.25,0,0,7,0,25,0,3,103619264,9.3000002
0,1,0,0,0,0,1,0,1,0,0,0,1,15000,499.07999,48000,14.26,0,0,8,0,19,0,4,23431414,7.3650794
0,0,0,1,0,0,1,0,0,0,1,1,0,9000,308.79001,180000,5.6100001,0,0,6,0,30,0,5,99097504,8.3626509
0,1,0,0,0,0,1,0,0,0,1,1,0,35000,1181.15,83000,8.79,0,0,6,0,16,0,0,9438034,9.6550722
0,1,0,0,0,0,1,0,0,0,1,1,0,15000,527.06,135000,6.8600001,0,1,12,0,32,0,1,3642654,10.430159
0,0,0,0,0,1,1,0,0,1,0,1,0,1000,34.779999,39960,9.25,0,1,3,0,15,0,0,12080366,7.4499998
0,0,0,0,0,1,1,0,0,0,1,1,0,21250,787.46002,80000,19.200001,0,6,20,0,36,0,1,48092016,5.1303029
1,0,1,0,0,0,1,0,0,0,1,1,0,9600,305.01001,85000,12.01,0,0,13,0,32,0,0,1411255,12.8
0,1,0,0,0,0,1,0,0,1,0,1,0,7000,228.02,40000,9.75,0,1,4,0,6,0,1,76217584,7.9000001
0,1,0,0,0,0,1,0,1,0,0,1,0,7200,252.42999,56048,10.71,0,1,7,0,9,0,4,7903688,14.9
0,1,0,0,0,0,1,0,0,0,1,1,0,15000,524.79999,322400,15.58,0,1,20,0,53,0,10,2633974,8.541667
0,1,0,0,0,0,1,0,1,0,0,1,0,3000,109.59,27000,7.5999999,0,0,5,0,6,0,0,21236694,7.4301586
0,1,0,0,0,0,1,0,1,0,0,1,0,12000,374.16,42000,21.370001,0,1,15,0,30,0,7,3475686,9.5181818
0,1,0,0,0,0,1,0,0,0,1,1,0,8800,274.22,86000,20.440001,0,1,16,0,38,0,10,29647520,9.458025
0,1,0,0,0,0,1,0,1,0,0,1,0,18000,582.16998,70000,20.780001,0,0,10,0,29,0,2,46618800,7.1999998
1,1,0,0,0,0,1,0,1,0,0,1,0,12000,388.10999,110000,9.4099998,0,0,15,0,33,0,2,46618800,7.1999998
0,1,0,0,0,0,1,0,0,0,1,1,0,7800,253.00999,52000,18.35,0,2,10,0,21,0,6,23636668,10.076056
0,1,0,0,0,0,1,0,1,0,0,1,0,11200,355.64001,105000,11.03,0,0,7,0,14,0,2,1661900,7
1,0,0,1,0,0,1,0,0,0,1,1,0,25000,828.34998,235800,2.51,0,1,15,0,38,0,10,167416192,11.6
0,1,0,0,0,0,0,1,0,1,0,1,0,10575,287.39999,110000,14.5,0,0,36,0,78,0,0,46594624,10.2
0,1,0,0,0,0,1,0,0,1,0,1,0,11000,339.60001,44975.52,7.1199999,0,0,10,0,13,0,2,46594624,10.2
0,0,0,0,0,1,0,1,1,0,0,1,0,6000,137.85001,44000,5.2399998,0,2,3,0,5,0,10,3073038,8.1431036
0,1,0,0,0,0,1,0,1,0,0,1,0,3500,119.78,81000,15.72,0,1,18,0,52,0,10,3608987,10.729546
0,1,0,0,0,0,1,0,0,1,0,1,0,12000,381.04001,51232,13.19,0,0,7,0,10,0,10,123197568,10.881481
0,1,0,0,0,0,1,0,0,1,0,1,0,6000,205.38,35004,16.76,1,0,8,0,23,0,1,9085950,5.1404495
0,1,0,0,0,0,1,0,0,1,0,1,0,4800,152.42,45000,23.709999,0,0,7,0,14,0,0,5175152,4.6133332
1,0,0,1,0,0,1,0,1,0,0,1,0,6000,203.94,36000,15.1,0,6,9,0,15,0,8,94197792,7.5999999
0,1,0,0,0,0,1,0,1,0,0,1,0,11000,365.31,45000,8.96,0,1,6,0,20,0,6,53176464,8.1000004
0,0,0,0,0,1,1,0,0,0,1,1,0,5000,162.21001,36000,5.1999998,0,2,3,0,5,0,0,61144840,12.1
0,0,0,0,0,1,1,0,0,1,0,1,0,5000,165.74001,30000,12.36,0,0,3,0,5,0,4,31494168,11.049057
0,0,0,0,0,1,1,0,0,0,1,1,0,7200,228.63,14400,27.67,0,0,4,0,5,0,7,55974272,8
0,1,0,0,0,0,1,0,1,0,0,1,0,9000,288.81,60000,6.1599998,0,1,6,0,30,0,10,17124420,4.1999998
0,1,0,0,0,0,1,0,1,0,0,1,0,10000,348.17999,55000,18.700001,0,0,13,0,22,0,10,124009184,10.279013
0,1,0,0,0,0,1,0,0,0,1,1,0,10000,332.72,51000,28.26,0,0,11,0,17,0,10,29962978,8.997674
0,1,0,0,0,0,1,0,1,0,0,1,0,2500,84.370003,36000,10.23,0,1,9,0,17,0,6,8791079,8.4099998
1,0,1,0,0,0,1,0,0,0,1,1,0,11500,371.94,55000,32.790001,0,0,10,0,25,0,10,433580,11.606061
1,1,0,0,0,0,1,0,1,0,0,1,0,6300,220.87,21609.551,12.99,0,0,10,0,20,0,5,872681,5
0,1,0,0,0,0,1,0,0,0,1,1,0,10000,323.42999,52000,23.049999,0,2,15,0,35,0,10,375538176,8.9881716
0,1,0,0,0,0,1,0,1,0,0,1,0,15000,515.08002,75000,27.299999,0,2,14,0,59,0,10,6825669,6.8899999
1,1,0,0,0,0,1,0,1,0,0,1,0,12000,417.81,38000,15.79,1,0,12,0,24,0,10,218171024,8.3000002
0,0,0,0,0,1,1,0,0,0,1,1,0,15500,515.71997,48000,21.530001,0,0,14,0,24,0,5,142480,13.6
0,1,0,0,0,0,1,0,0,1,0,1,0,12000,389.29999,60000,11.9,1,0,7,0,21,0,2,269662592,8.9510641
0,0,0,1,0,0,1,0,1,0,0,1,0,11000,365.98999,40000,8.1000004,0,0,12,0,15,0,10,108639128,8.5190477
0,1,0,0,0,0,1,0,0,0,1,1,0,10000,337.47,116000,16.26,0,1,15,0,22,0,4,18146530,6.6387753
0,1,0,0,0,0,1,0,0,0,1,1,0,13500,461.98999,51800,27.01,0,0,13,1,21,1,6,10121855,8.4813185
0,1,0,0,0,0,1,0,0,0,1,1,0,6000,190.52,66000,13.57,0,0,8,0,15,0,5,204005744,9.1000004
0,1,0,0,0,0,1,0,1,0,0,1,0,10000,321.54999,40000,14.43,0,0,18,0,37,0,1,28538114,7
0,0,0,0,0,1,1,0,0,1,0,1,0,1500,50.630001,43000,20.370001,0,3,10,0,14,0,6,11152751,6.868
0,1,0,0,0,0,1,0,1,0,0,1,0,8500,276.64001,49000,6.7600002,0,0,9,0,22,0,10,4522482,11.040277
0,1,0,0,0,0,1,0,1,0,0,1,0,12000,412.06,60000,10.42,0,1,9,0,24,0,3,141779760,9.4725275
1,0,0,0,0,1,1,0,0,1,0,1,0,5000,176.50999,38000,11.84,0,2,12,0,43,0,6,3785887,5.2199998
1,0,1,0,0,0,1,0,0,1,0,1,0,16000,529.21997,42494,10.65,0,0,6,0,9,0,7,13558495,9.6999998
0,1,0,0,0,0,1,0,0,1,0,1,0,3000,111.07,21000,12.3,0,1,4,0,16,0,5,4211916,9.9194441
0,1,0,0,0,0,1,0,0,1,0,1,0,10000,363.98999,36000,12.63,0,2,10,0,29,0,10,72828448,7.6999998
0,1,0,0,0,0,1,0,0,0,1,1,0,24000,824.12,240000,11.81,0,0,10,0,15,0,10,72250784,8.3000002
0,0,0,1,0,0,1,0,1,0,0,1,0,5000,171.31,69000,9.3400002,4,3,7,0,31,0,10,3625930,9.0090914
0,1,0,0,0,0,1,0,1,0,0,1,0,9000,304.29001,67992,18.51,0,10,17,0,26,0,8,76756912,5.5272727
0,0,0,0,0,1,1,0,0,1,0,1,0,10000,331.64001,85000,11.86,0,0,10,0,17,0,10,22532534,7.8492064
0,1,0,0,0,0,1,0,1,0,0,1,0,23750,801.5,67000,27.360001,0,0,12,0,21,0,1,272417,4.6415386
1,0,0,0,1,0,1,0,1,0,0,1,0,5000,174.73,160000,15.77,0,6,17,0,46,0,7,17606224,9.4153843
0,0,0,1,0,0,1,0,0,0,1,1,0,12000,404.97,72000,33.509998,0,1,19,0,40,0,5,266776752,9.1000004
0,1,0,0,0,0,1,0,1,0,0,1,0,3500,120.09,34000,20.190001,0,0,9,0,14,0,0,10527000,10.3
0,1,0,0,0,0,1,0,0,1,0,1,0,6900,229.58,79000,5.79,0,1,4,0,8,0,6,9567910,7.3000002
0,0,1,0,0,0,0,1,1,0,0,1,0,2000,40.09,71328,4.7600002,0,1,7,0,27,0,8,5558043,10.7
0,0,0,0,0,1,1,0,1,0,0,1,0,9600,328.53,51996,20.75,0,0,10,0,41,0,8,653791488,12.336987
0,1,0,0,0,0,1,0,1,0,0,0,1,15000,485.14001,42000,8.3699999,0,0,3,0,3,0,10,95179352,16.303333
0,1,0,0,0,0,1,0,1,0,0,1,0,5000,164.86,30000,10.2,0,3,3,0,4,0,0,11054155,12.006098
0,0,0,1,0,0,1,0,1,0,0,1,0,12000,404.97,81528,14.25,2,1,12,0,34,0,10,101459256,7.1614456
0,1,0,0,0,0,1,0,0,0,1,1,0,6800,231.32001,32000,8.6199999,0,0,8,0,12,0,7,102868224,8
0,1,0,0,0,0,1,0,1,0,0,1,0,4800,171.78,85881,24.68,3,1,10,0,33,0,10,57661368,7.0139241
0,1,0,0,0,0,1,0,0,0,1,1,0,6000,192.57001,26000,8.3500004,0,0,12,0,32,0,1,2140710,11.474286
0,1,0,0,0,0,0,1,1,0,0,1,0,6000,133.05,50000,22.99,0,1,11,1,28,1,10,269011872,9.8510637
1,1,0,0,0,0,1,0,0,0,1,1,0,21725,766.90997,110000,29.110001,0,2,15,0,46,0,10,6116022,8.1199999
0,1,0,0,0,0,1,0,0,1,0,1,0,15000,496.14001,30000,16.530001,0,0,8,0,17,0,0,125542000,9.1000004
0,1,0,0,0,0,1,0,0,1,0,1,0,4800,161.69,55000,10.76,3,2,3,0,33,0,2,2137148,9.5102568
0,1,0,0,0,0,1,0,1,0,0,1,0,6900,236.13,50000,17.780001,0,1,9,0,13,0,10,2592615,9.3515148
0,1,0,0,0,0,1,0,1,0,0,0,1,20000,625.81,56000,23.93,0,0,11,0,32,0,2,5010162,8.649333
0,1,0,0,0,0,1,0,0,0,1,1,0,24925,932.53998,125000,5.0300002,2,0,6,0,12,0,10,50695316,6.6197677
0,1,0,0,0,0,1,0,0,0,1,1,0,10000,312.81,75000,22.299999,0,0,11,0,24,0,2,4450606,8.8645163
1,1,0,0,0,0,1,0,0,0,1,1,0,15000,536.81,38000,29.92,0,1,8,0,15,0,5,23554320,7.8444443
0,0,0,1,0,0,1,0,1,0,0,1,0,3625,120.61,90000,14.33,0,3,8,0,10,0,4,184324368,7.9483871
0,1,0,0,0,0,1,0,0,0,1,1,0,9000,280,125000,9.1599998,0,1,10,0,27,0,7,21081696,7.9428573
0,1,0,0,0,0,1,0,1,0,0,1,0,10000,350.10999,39312,21.73,0,0,8,0,12,0,5,186634384,9.6999998
0,0,0,1,0,0,1,0,0,0,1,0,1,25000,779.03998,110000,6.1500001,0,1,11,0,31,0,10,248792256,9.6999998
0,1,0,0,0,0,1,0,1,0,0,1,0,6000,196.84,40000,28.530001,0,2,11,0,23,0,2,2570012,9.1285715
0,1,0,0,0,0,1,0,0,0,1,1,0,9000,280,135000,11.71,0,2,12,0,29,0,2,206051696,8.0784092
0,1,0,0,0,0,1,0,1,0,0,1,0,19500,658.07001,55000,26.25,0,0,16,0,21,0,2,43885452,7.1999998
0,0,0,0,0,1,1,0,1,0,0,1,0,7200,234.53,95000,6.1999998,0,1,9,0,15,0,7,7903688,14.9
0,1,0,0,0,0,1,0,0,1,0,1,0,3600,109.8,30000,3.28,0,1,8,0,17,0,0,103619264,9.3000002
1,1,0,0,0,0,1,0,1,0,0,1,0,5600,191.64,39500,15.83,0,2,10,0,16,0,7,48145216,8.7607145
0,0,0,0,0,1,1,0,1,0,0,1,0,2000,63.509998,60000,11.54,0,0,15,0,41,0,8,218171024,8.3000002
0,0,0,0,0,1,1,0,1,0,0,1,0,8000,279.60999,54000,8.6000004,0,0,8,0,13,0,3,203991376,9.2431822
1,1,0,0,0,0,1,0,1,0,0,1,0,9000,273.92001,60000,5.2199998,0,0,6,0,15,0,10,1813603,10.1
0,1,0,0,0,0,1,0,0,1,0,1,0,13000,432.54001,52000,16.48,0,1,7,0,17,0,10,2477373,7.9376812
0,0,1,0,0,0,1,0,0,1,0,1,0,14000,465.81,82600,7.6399999,0,0,7,0,10,0,2,6322876,12.604348
0,1,0,0,0,0,1,0,0,1,0,1,0,14575,443.60001,37000,25.65,0,0,9,0,25,0,5,56877764,11.198305
0,1,0,0,0,0,1,0,0,0,1,0,1,15000,529.51001,38000,29.049999,0,0,6,0,9,0,10,15228960,8.6641512
0,1,0,0,0,0,1,0,1,0,0,1,0,9000,280.45999,114000,5.1999998,0,0,11,0,20,0,2,939094080,10.9
0,1,0,0,0,0,1,0,1,0,0,1,0,20000,623.22998,115000,14.08,0,1,9,0,40,0,3,77815424,4.6342859
0,1,0,0,0,0,1,0,0,0,1,1,0,3000,96.290001,59300,9.5900002,2,1,7,0,16,0,1,966837,9.9392853
0,1,0,0,0,0,1,0,1,0,0,1,0,6500,197.13,40116.121,21.93,0,0,12,0,21,0,2,147279152,12.5
0,1,0,0,0,0,1,0,1,0,0,1,0,28000,974.89001,100000,7.2600002,0,0,18,0,31,0,10,291221792,9.4123459
0,1,0,0,0,0,1,0,1,0,0,1,0,10000,342.22,95000,8.7799997,0,3,10,0,17,0,2,77496176,8.4279413
0,0,0,1,0,0,1,0,1,0,0,1,0,7000,231.37,65000,19.68,0,0,23,0,34,0,10,75181216,4.9514284
0,1,0,0,0,0,1,0,0,0,1,0,1,21000,644.78003,56000,14.31,0,0,9,0,34,0,8,4581520,10.111111
0,0,0,0,0,1,1,0,1,0,0,1,0,2200,69.860001,90000,9.04,0,6,10,0,30,0,7,1958405,5.9236364
0,1,0,0,0,0,1,0,1,0,0,1,0,9000,305.89999,60000,10.9,0,0,10,0,21,0,0,7955064,16.1
0,1,0,0,0,0,1,0,0,1,0,1,0,10750,374.29001,32000,20.549999,0,0,9,0,18,0,5,42520504,7.8914285
0,0,0,1,0,0,1,0,1,0,0,1,0,5000,152.17999,40000,11.28,0,3,11,0,16,0,10,8114177,7.9626865
0,1,0,0,0,0,1,0,0,0,1,1,0,28000,981.64001,170000,8.3400002,0,1,10,0,18,0,3,3031312,7.4666667
0,1,0,0,0,0,1,0,1,0,0,1,0,3600,112.65,39000,27.51,0,1,18,1,42,1,5,55974272,8
0,1,0,0,0,0,1,0,1,0,0,0,1,21000,698.71002,88000,12.55,0,0,6,0,14,0,10,53791056,6.8000002
0,1,0,0,0,0,1,0,0,0,1,1,0,6000,199.63,44000,32.669998,1,0,5,0,31,0,10,905310,7.6999998
0,0,0,1,0,0,1,0,0,0,1,1,0,35000,1095.16,185232,8.7299995,0,0,8,0,46,0,10,28882880,11.024692
0,1,0,0,0,0,1,0,1,0,0,0,1,7000,226.39999,70000,0.25999999,0,3,3,0,7,0,5,36428544,6.3225808
0,1,0,0,0,0,1,0,1,0,0,1,0,18650,620.52002,120000,15.29,0,2,10,0,18,0,2,110185592,7.2464285
1,0,1,0,0,0,1,0,1,0,0,1,0,3200,106.61,15000,16.879999,0,3,14,0,19,0,8,7822012,13.066667
